merchantno,saledate,shop,id,name,qty,amount,refundqty,refundamt
87228f178f64df07e28280f848455722,2019-02-24,00    ,010129       ,敏婷抗敏修复洁面乳,1.0000,35.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-21,00    ,010129       ,敏婷抗敏修复洁面乳,1.0000,35.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-30,00    ,010129       ,敏婷抗敏修复洁面乳,1.0000,35.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-02,00    ,010129       ,敏婷抗敏修复洁面乳,1.0000,34.3000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-15,00    ,010130       ,敏婷抗敏褪红修复霜,1.0000,85.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-03,00    ,010130       ,敏婷抗敏褪红修复霜,1.0000,85.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-12,00    ,010130       ,敏婷抗敏褪红修复霜,1.0000,85.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-15,00    ,010130       ,敏婷抗敏褪红修复霜,1.0000,83.3000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-01,00    ,010130       ,敏婷抗敏褪红修复霜,1.0000,85.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-20,00    ,010131       ,敏婷抗敏褪红修复菁华,1.0000,95.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-11,00    ,010131       ,敏婷抗敏褪红修复菁华,1.0000,93.1000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-31,00    ,010131       ,敏婷抗敏褪红修复菁华,1.0000,95.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-09,00    ,010133       ,敏婷柔皙嫩白精华霜,1.0000,65.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-06,00    ,010133       ,敏婷柔皙嫩白精华霜,1.0000,65.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-11,00    ,010133       ,敏婷柔皙嫩白精华霜,1.0000,65.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-27,00    ,010133       ,敏婷柔皙嫩白精华霜,1.0000,65.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-23,00    ,010134       ,敏婷柔皙嫩白日霜,1.0000,49.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-12,00    ,010135       ,敏婷柔皙保湿洁面乳,1.0000,25.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-18,00    ,010135       ,敏婷柔皙保湿洁面乳,1.0000,24.5000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-28,00    ,010135       ,敏婷柔皙保湿洁面乳,1.0000,25.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-08,00    ,010135       ,敏婷柔皙保湿洁面乳,1.0000,25.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-23,00    ,010135       ,敏婷柔皙保湿洁面乳,1.0000,25.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-03,00    ,010135       ,敏婷柔皙保湿洁面乳,1.0000,25.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-07,00    ,010135       ,敏婷柔皙保湿洁面乳,1.0000,25.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-12,00    ,010136       ,敏婷柔皙保湿精华霜,2.0000,120.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-25,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,60.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-27,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,58.8000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-08,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,60.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-15,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,58.8000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-18,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,58.8000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-26,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,60.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-28,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,60.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-29,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,60.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-05,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,58.8000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-10,00    ,010136       ,敏婷柔皙保湿精华霜,1.0000,60.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-18,00    ,010137       ,敏婷柔皙保湿日霜,1.0000,49.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-15,00    ,010137       ,敏婷柔皙保湿日霜,1.0000,49.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-17,00    ,010137       ,敏婷柔皙保湿日霜,1.0000,49.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-31,00    ,010137       ,敏婷柔皙保湿日霜,1.0000,49.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-02,00    ,010137       ,敏婷柔皙保湿日霜,1.0000,49.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-26,00    ,010138       ,敏婷柔皙抗皱补水眼霜,1.0000,65.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-28,00    ,010138       ,敏婷柔皙抗皱补水眼霜,1.0000,65.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-04,00    ,010138       ,敏婷柔皙抗皱补水眼霜,1.0000,65.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-07,00    ,010138       ,敏婷柔皙抗皱补水眼霜,1.0000,65.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-30,00    ,010138       ,敏婷柔皙抗皱补水眼霜,1.0000,63.7000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-24,00    ,010139       ,敏婷柔皙平衡水,1.0000,45.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-02,00    ,010139       ,敏婷柔皙平衡水,1.0000,45.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-03-05,00    ,010139       ,敏婷柔皙平衡水,1.0000,45.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-02,00    ,010139       ,敏婷柔皙平衡水,1.0000,44.1000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-04-10,00    ,010139       ,敏婷柔皙平衡水,2.0000,89.1000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-13,00    ,010140       ,敏婷柔皙粉底液（浅肤色）,1.0000,55.0000,0.0000,0.0000
87228f178f64df07e28280f848455722,2019-02-19,00    ,010140       ,敏婷柔皙粉底液（浅肤色）,1.0000,55.0000,0.0000,0.0000
